"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts"
1,"Direction",6.99639776994462,4,360,1.96452777266996e-05,0.27061,0.25813,"<.0001"
2,"Direction",1.3640815019778,4,360,0.245916092981138,0.18883,0.2394,"ns"
3,"Direction",5.39053027464204,4,360,0.000316831492096474,0.11004,0.2174,"<.0005"
4,"Direction",2.41410706661228,4,360,0.0486179604805223,0.073707,0.18359,"<.05"
5,"Direction",1.86446782206553,4,360,0.116103952731441,0.035595,0.13683,"ns"
6,"Direction",7.10359891361569,4,360,1.63153954208932e-05,-2.187e-17,0.089291,"<.0001"
7,"Direction",2.5575661456341,4,360,0.0385260926872557,-0.028292,0.036037,"<.05"
8,"Direction",2.56841365068292,4,360,0.0378514366655762,0.15945,0.30209,"<.05"
9,"Direction",1.51372029509364,4,360,0.197573661862557,0.083862,0.27643,"ns"
10,"Direction",2.32773439585218,4,360,0.0558753270749463,0.050145,0.23852,"ns"
11,"Direction",1.03596838701258,4,360,0.388485500472139,-4.8953e-17,0.19987,"ns"
12,"Direction",3.73378083626736,4,360,0.00542718650920548,-0.035595,0.13683,"<.01"
13,"Direction",3.31618585582915,4,360,0.0109756949779212,-0.058411,0.078036,"<.05"
14,"Direction",1.90105465747377,4,360,0.109704062257,0.044058,0.32872,"ns"
15,"Direction",1.95389472652835,4,360,0.101042422505446,-6.9342e-17,0.28311,"ns"
16,"Direction",0.624520375393648,4,360,0.645288472979408,-6.0391e-17,0.24656,"ns"
17,"Direction",3.36528029077918,4,360,0.0101074687789577,-8.7824e-17,0.35857,"<.05"
18,"Direction",3.23429141392658,4,360,0.0125898340940581,-0.050145,0.23852,"<.05"
19,"Direction",2.65484868139787,4,360,0.0328694935194581,-0.073707,0.18359,"<.05"
20,"Direction",0.3882058165211,4,360,0.817074119858441,-0.097709,0.1308,"ns"
21,"Direction",1.48612544400051,4,360,0.205795057317291,-0.044058,0.32872,"ns"
22,"Direction",4.63571404911835,4,360,0.00116340515010317,-0.083862,0.27643,"<.005"
23,"Direction",3.68261007141701,4,360,0.00591854535415958,-0.11004,0.2174,"<.01"
24,"Direction",2.75302382356105,4,360,0.0279812202429868,-0.12335,0.16655,"<.05"
25,"Direction",16.0671086085924,4,360,4.0774854252335e-12,-0.15945,0.30209,"<.0001"
26,"Direction",0.644265655260941,4,360,0.631257853798375,-0.18883,0.2394,"ns"
27,"Direction",5.13064242323909,4,360,0.00049622352442077,-0.1756,0.16852,"<.0005"
28,"Direction",0.59316136806952,4,360,0.667798657834846,-0.15612,0.11703,"ns"
29,"Direction",3.3457383570448,4,360,0.0104446596081761,-0.12367,0.07006,"<.05"
30,"Direction",2.2690081855599,4,360,0.061391997158083,-0.089234,0.023191,"ns"
31,"Direction",4.93711820276386,4,360,0.000692714466549439,-0.044495,-0.015575,"<.001"
32,"Direction",1.77872949976615,4,360,0.132491113336843,-0.27061,0.25813,"ns"
33,"Direction",4.99858943761163,4,360,0.000623100274246906,-0.27006,0.17418,"<.001"
34,"Direction",2.27250743416563,4,360,0.0610491623088583,-0.22865,0.099464,"ns"
35,"Direction",0.398006509889394,4,360,0.810063890134294,-0.1832,0.042556,"ns"
36,"Direction",2.74433004103772,4,360,0.0283838751444962,-0.14086,0.0073253,"<.05"
37,"Direction",3.44015137233332,4,360,0.0089118744538064,-0.091723,-0.035635,"<.01"
38,"Direction",0.396215713119366,4,360,0.811347498011403,-0.34659,0.19108,"ns"
39,"Direction",2.1681852998761,4,360,0.0720989171950401,-0.33383,0.039461,"ns"
40,"Direction",1.07284958955666,4,360,0.369707723443192,-0.25598,0.0011134,"ns"
41,"Direction",2.34541276891248,4,360,0.054309968915699,-0.19461,-0.022574,"ns"
42,"Direction",1.31482780137857,4,360,0.263953864784326,-0.15112,-0.059346,"ns"
43,"Direction",2.45494760865789,4,360,0.0455109061489265,-0.41311,0.15319,"<.05"
44,"Direction",1.25782817693332,4,360,0.286240007736257,-0.39898,0.074566,"ns"
45,"Direction",2.05993489544368,4,360,0.0855657996057045,-0.31837,-0.081339,"ns"
46,"Direction",7.65653595475601,4,360,6.26254550414109e-06,-0.24052,-0.075603,"<.0001"
47,"Direction",18.6828609163341,4,360,5.74154633597614e-14,-0.19145,-0.085584,"<.0001"
48,"Direction",0.974391201927776,4,360,0.421464450848967,-0.45895,0.17222,"ns"
49,"Direction",1.89322895827589,4,360,0.11104455055989,-0.46317,0.03064,"ns"
50,"Direction",6.34379742643343,4,360,6.08627387226532e-05,-0.27341,-0.16219,"<.0001"
51,"Direction",5.14894174788969,4,360,0.000480803639127288,-0.20096,-0.14301,"<.0005"
52,"Direction",0.652914294396106,4,360,0.625151158801818,-0.15394,-0.11866,"ns"
53,"Direction",0.912631682754412,4,360,0.456587007238859,-0.099452,-0.09574,"ns"
54,"Direction",3.17637642531411,4,360,0.0138698230649448,-0.050987,-0.076676,"<.05"
55,"Direction",5.78293167252329,4,360,0.000160749967833231,5.8045e-18,-0.047397,"<.0005"
56,"Direction",2.78047276952408,4,360,0.0267460500960661,-0.41976,-0.1671,"<.05"
57,"Direction",3.14879912553236,4,360,0.0145233628217797,-0.33631,-0.19112,"<.05"
58,"Direction",2.93497659156649,4,360,0.0207238556959512,-0.22492,-0.21452,"<.05"
59,"Direction",2.92352556635092,4,360,0.0211205593153644,-0.15297,-0.18922,"<.05"
60,"Direction",3.2115966254493,4,360,0.0130769742796195,-0.10478,-0.15427,"<.05"
61,"Direction",5.93499891172815,4,360,0.000123549703770773,-0.054807,-0.12811,"<.0005"
62,"Direction",7.26078619400432,4,360,1.24263607857204e-05,1.1987e-17,-0.097882,"<.0001"
63,"Direction",1.22270258501444,4,360,0.30075471611025,-0.349,-0.28153,"ns"
64,"Direction",1.70323576557126,4,360,0.148669850864755,-0.25813,-0.2804,"ns"
65,"Direction",3.19525193485557,4,360,0.0134392227066533,-0.16624,-0.26054,"<.05"
66,"Direction",4.98550658099285,4,360,0.000637307637119371,-0.10296,-0.21873,"<.001"
67,"Direction",4.01849502939663,4,360,0.00334543103577786,-0.04676,-0.18643,"<.005"
68,"Direction",3.45097021054398,4,360,0.00875104328682538,-0.22108,-0.37388,"<.01"
69,"Direction",2.85937387826479,4,360,0.0234839101028626,-0.1585,-0.34149,"<.05"
70,"Direction",2.61987677299479,4,360,0.0348035076305702,-0.093018,-0.29235,"<.05"
71,"Direction",1.70333401527124,4,360,0.148647660173777,-0.039316,-0.23611,"ns"
72,"Direction",3.75975911036666,4,360,0.0051933809996539,2.5091e-17,-0.20489,"<.01"
73,"Direction",4.18804583471278,4,360,0.00250512146518026,-0.10679,-0.41491,"<.005"
74,"Direction",7.53846226610187,4,360,7.68272466398352e-06,-0.049033,-0.36828,"<.0001"
75,"Direction",5.31011625606781,4,360,0.000364040490215542,3.6897e-17,-0.30129,"<.0005"
76,"Direction",3.08300412863689,4,360,0.0162069700386005,0.039316,-0.23611,"<.05"
77,"Direction",6.83512366347375,4,360,2.59786837847485e-05,0.04676,-0.18643,"<.0001"
78,"Direction",3.94792966552548,4,360,0.00377252953677714,0.054807,-0.12811,"<.005"
79,"Direction",2.79517648942932,4,360,0.0261063972230289,0.050987,-0.076676,"<.05"
80,"Direction",6.50596808234013,4,360,4.59538696252607e-05,0.044495,-0.015575,"<.0001"
81,"Direction",2.81711376842141,4,360,0.0251796706634504,5.188e-17,-0.42363,"<.05"
82,"Direction",1.9300655209474,4,360,0.104865872862064,0.049033,-0.36828,"ns"
83,"Direction",5.64345873995284,4,360,0.000204617828277893,0.093018,-0.29235,"<.0005"
84,"Direction",7.26922623559867,4,360,1.22460247184054e-05,0.10296,-0.21873,"<.0001"
85,"Direction",5.12139230879799,4,360,0.000504204560104823,0.10478,-0.15427,"<.001"
86,"Direction",4.23315469273218,4,360,0.00231927483211854,0.099452,-0.09574,"<.005"
